WDID,Admin,Decree,Source
36_KeyMun,18181,0.03,#N/A
36_KeyMun,32075.25333,0.12,#N/A
36_KeyMun,44741,1.23,#N/A
3700519,25277.20453,1.5,EAST LAKE CREEK
3700519,30894.20939,1.5,EAST LAKE CREEK
3700519,30894.27514,4.5,EAST LAKE CREEK
3700519,30894.30102,4.08,EAST LAKE CREEK
3700519,99999.99999,999,EAST LAKE CREEK
3700539,12188,1.8,GYPSUM CREEK
3700539,13392,0.4,GYPSUM CREEK
3700539,13589,0.95,GYPSUM CREEK
3700539,13591,0.85,GYPSUM CREEK
3700539,13591,2.8,GYPSUM CREEK
3700539,13593,3.2,GYPSUM CREEK
3700539,13918,1,GYPSUM CREEK
3700539,13985,2.2,GYPSUM CREEK
3700539,15646,0.8,GYPSUM CREEK
3700539,16251.14411,0.1,GYPSUM CREEK
3700539,17683,0.14,GYPSUM CREEK
3700539,23261.20827,0.4,GYPSUM CREEK
3700539,23802.2374,27.7,GYPSUM CREEK
3700545,16251.12773,0.8,BRUSH CREEK
3700545,30894.26906,12.42,BRUSH CREEK
3700548,16251.13302,0.8,EAGLE RIVER
3700548,16251.15126,0.17,EAGLE RIVER
3700548,20972.14185,8,EAGLE RIVER
3700548,30894.15115,0.6,EAGLE RIVER
3700548,30894.21689,5.25,EAGLE RIVER
3700548,30894.26906,1,EAGLE RIVER
3700548,99999.99999,999,EAGLE RIVER
3700560,16927,7.3,LAKE CREEK
3700560,30894.17657,13.16,LAKE CREEK
3700560,52595.51986,2,LAKE CREEK
3700560,54201,0.5,LAKE CREEK
3700561,11808,4.1,GYPSUM CREEK
3700561,13028,2.8,GYPSUM CREEK
3700561,13918,2.4,GYPSUM CREEK
3700561,15611,0.5,GYPSUM CREEK
3700561,15611,1,GYPSUM CREEK
3700561,23802.2374,10.3,GYPSUM CREEK
3700561,30894.27394,2.16,GYPSUM CREEK
3700571,13315,3.2,LAKE CREEK
3700571,15462,3,LAKE CREEK
3700571,19509.16192,3.9,LAKE CREEK
3700571,30894.18383,2.54,LAKE CREEK
3700571,30894.20977,0.25,LAKE CREEK
3700571,54021,0.25,LAKE CREEK
3700571,99999.99999,999,LAKE CREEK
3700642,16251.13057,5.52,EAGLE RIVER
3700642,16953,0.5,EAGLE RIVER
3700642,20972.16151,0.34,EAGLE RIVER
3700642,22702.2237,17,EAGLE RIVER
3700642,22736,2,EAGLE RIVER
3700642,30126.27646,4.46,EAGLE RIVER
3700642,30894.28011,20.42,EAGLE RIVER
3700655,11808,0.3,GYPSUM CREEK
3700655,13752,2.73,GYPSUM CREEK
3700655,14001,0.56,GYPSUM CREEK
3700655,14061,1.5,GYPSUM CREEK
3700655,14081,0.24,GYPSUM CREEK
3700655,14463,1.8,GYPSUM CREEK
3700655,23802.2374,11.06,GYPSUM CREEK
3700655,99999.99999,999,GYPSUM CREEK
3700658,17696,2.2,EAGLE RIVER
3700658,30894.18061,11.92,EAGLE RIVER
3700658,30894.20977,3.04,EAGLE RIVER
3700686,14457,2.2,BRUSH CREEK
3700686,16251.12085,2.6,BRUSH CREEK
3700686,17328,5.7,BRUSH CREEK
3700686,22489,0.2,BRUSH CREEK
3700686,30894.26906,9.7,BRUSH CREEK
3700694,12205,1.8,BRUSH CREEK
3700694,13918,1.8,BRUSH CREEK
3700694,14456,1.4,BRUSH CREEK
3700694,16902,0.6,BRUSH CREEK
3700694,30894.26906,13.74,BRUSH CREEK
3700708,16251.13971,6,EAGLE RIVER
3700708,30894.22736,4.87,EAGLE RIVER
3700708,38753.37912,18.26,EAGLE RIVER
3700708,54056,0.26,EAGLE RIVER
3700723,12538,0.6,BRUSH CREEK
3700723,13605,0.04,BRUSH CREEK
3700723,16251.14508,0.6,BRUSH CREEK
3700723,17302,0.5,BRUSH CREEK
3700723,30387.23501,2,BRUSH CREEK
3700723,30894.26906,5.71,BRUSH CREEK
3700723,99999.99999,999,BRUSH CREEK
3700743,17696,0.88,EAGLE RIVER
3700743,21707.17326,8,EAGLE RIVER
3700743,30894.20977,9.88,EAGLE RIVER
3700743,52230.4361,8,EAGLE RIVER
3700743,52230.52217,3,EAGLE RIVER
3700743,99999.99999,999,EAGLE RIVER
3700823,11505,9,GYPSUM CREEK
3700823,11969,2.65,GYPSUM CREEK
3700823,12539,1,GYPSUM CREEK
3700823,12875,0.4,GYPSUM CREEK
3700823,13338,0.65,GYPSUM CREEK
3700823,13345,1.1,GYPSUM CREEK
3700823,14458,1.7,GYPSUM CREEK
3700823,20972.18418,3.55,GYPSUM CREEK
3700823,20972.18419,1.7,GYPSUM CREEK
3700823,20972.19181,2,GYPSUM CREEK
3700823,23802.2374,25.65,GYPSUM CREEK
3700823,55517.54056,5,GYPSUM CREEK
3700823,99999.99999,999,GYPSUM CREEK
3700830,16251.14406,6.64,EAGLE RIVER
3700830,30894.26093,10.91,EAGLE RIVER
3700830,37040,6.2,EAGLE RIVER
3700830,99999.99999,999,EAGLE RIVER
3700843,16251.11251,3.2,BRUSH CREEK
3700843,18627,2,BRUSH CREEK
3700843,30894.26906,7.05,BRUSH CREEK
3700848,12894,3.7,EAGLE RIVER
3700848,14527,2.4,EAGLE RIVER
3700848,14527,1.6,EAGLE RIVER
3700848,20972.18901,0.94,EAGLE RIVER
3700848,30894.26571,11.83,EAGLE RIVER
3700848,38753.37375,15,EAGLE RIVER
3700848,99999.99999,999,EAGLE RIVER
3700857,16251.11808,4.8,BRUSH CREEK
3700857,18017,1,BRUSH CREEK
3700857,30894.26906,14.91,BRUSH CREEK
3701146,42485,500,EAGLE RIVER
3704516HU,99999.99999,0,EAGLE RIVER
3704614,38753.3752,300,EAGLE RIVER
