WDID,Admin,Decree,Source
38_ADC037,33084,1.8,#N/A
38_ADC038,12873,9.8,#N/A
38_ADC038,15727,8.43,#N/A
38_ADC038,16853,1.7,#N/A
38_ADC038,23983,6.77,#N/A
38_ADC038,34813,14.37,#N/A
38_ADC038,48918,4.05,#N/A
38_ADC039,13187,19.63,#N/A
38_ADC039,13519,2.8,#N/A
38_ADC039,14715,0.56,#N/A
38_ADC039,35504,0.35,#N/A
38_ADC039,45046,4,#N/A
38_ADC039,44300,19.1,#N/A
38_ADC040,13013,6.6,#N/A
38_ADC040,13240,0.5,#N/A
38_ADC040,20641,1.7,#N/A
38_ADC040,25336,5.1,#N/A
38_ADC040,36493,2,#N/A
38_ADC040,29340,0.6,#N/A
3900532,15804.1531,7,COLORADO RIVER
3900532,27004.1531,2,COLORADO RIVER
3900532,39686,6.8,COLORADO RIVER
3900532,40016,2,COLORADO RIVER
3900532,99999.99999,999,COLORADO RIVER
3900537,12190,2.42,PARACHUTE CREEK
3900537,12474,2.96,PARACHUTE CREEK
3900537,13181,2.5,PARACHUTE CREEK
3900537,13639,0.8,PARACHUTE CREEK
3900537,14092,5,PARACHUTE CREEK
3900537,15120,2,PARACHUTE CREEK
3900537,99999.99999,999,PARACHUTE CREEK
3900539,12205,2.8,EAST ELK CREEK
3900539,12578,1.7,EAST ELK CREEK
3900539,16027.14881,2.4,EAST ELK CREEK
3900539,32959.25995,9.9,EAST ELK CREEK
3900540,16241.15813,15,EAST ELK CREEK
3900540,99999.99999,999,EAST ELK CREEK
3900546_D,17698.14366,2,PARACHUTE CREEK
3900546_D,25648.21854,0.12,PARACHUTE CREEK
3900546_D,31031.14001,1.33,PARACHUTE CREEK
3900546_D,31031.27818,5.69,PARACHUTE CREEK
3900546_D,31031.27818,3.09,PARACHUTE CREEK
3900546_D,50302,4.8,PARACHUTE CREEK
3900547,22605.21631,8.66,RIFLE CREEK
3900547,37503.36355,9.34,RIFLE CREEK
3900548,20527.17486,4,CANYON CREEK
3900548,31780.2275,11.2,CANYON CREEK
3900548,38167,19.8,CANYON CREEK
3900562,17699.14336,0.4,PARACHUTE CREEK
3900562,17699.16541,3.6,PARACHUTE CREEK
3900562,21523.18388,1,PARACHUTE CREEK
3900562,21523.18936,1.6,PARACHUTE CREEK
3900562,31031.27818,6.09,PARACHUTE CREEK
3900562,99999.99999,999,PARACHUTE CREEK
3900563,15458.13715,100,EAST RIFLE CREEK
3900563,37503.15066,24,EAST RIFLE CREEK
3900563,99999.99999,0,EAST RIFLE CREEK
3900563_I,37503.15068,0,EAST RIFLE CREEK
3900574,11823,1.2,RIFLE CREEK
3900574,12522,1.4,RIFLE CREEK
3900574,12889,0,RIFLE CREEK
3900574,12889,4,RIFLE CREEK
3900574,13285,0.21,RIFLE CREEK
3900574,13468,0.6,RIFLE CREEK
3900574,13484,11.8,RIFLE CREEK
3900574,13605,4,RIFLE CREEK
3900574,13915,2.5,RIFLE CREEK
3900574,21661.20003,0.8,RIFLE CREEK
3900574,58439.47056,2,RIFLE CREEK
3900585,12889,1,EAST RIFLE CREEK
3900585,13286,1.4,EAST RIFLE CREEK
3900585,13381,1.2,EAST RIFLE CREEK
3900585,13649,0.4,EAST RIFLE CREEK
3900585,14010,0.65,EAST RIFLE CREEK
3900585,15458.1401,2.05,EAST RIFLE CREEK
3900590,15799.15291,2.4,PARACHUTE CREEK
3900590,31031.27818,10.57,PARACHUTE CREEK
3900590,99999.99999,999,PARACHUTE CREEK
3900610,13518,5,PARACHUTE CREEK
3900610,13971,9,PARACHUTE CREEK
3900610,17699.1436,1.6,PARACHUTE CREEK
3900610,31031.27818,12.34,PARACHUTE CREEK
3900610,99999.99999,999,PARACHUTE CREEK
3900612,13596,3.03,COLORADO RIVER
3900612,14147,50,COLORADO RIVER
3900612,99999.99999,999,COLORADO RIVER
3900635,13181,1,PARACHUTE CREEK
3900635,13971,3.6,PARACHUTE CREEK
3900635,15436.14725,1.3,PARACHUTE CREEK
3900635,15436.15288,1.6,PARACHUTE CREEK
3900635,31031.27818,19.72,PARACHUTE CREEK
3900635,99999.99999,999,PARACHUTE CREEK
3900638,19306.17802,25.6,EAST ELK CREEK
3900638,32959.25995,2.2,EAST ELK CREEK
3900638,51134.50948,0.3,EAST ELK CREEK
3900638,99999.99999,999,EAST ELK CREEK
3900645,11823,0.8,RIFLE CREEK
3900645,12122,3.8,RIFLE CREEK
3900645,12362,1.6,RIFLE CREEK
3900645,12522,0.6,RIFLE CREEK
3900645,13195,3,RIFLE CREEK
3900645,13285,0.3,RIFLE CREEK
3900645,13468,14.88,RIFLE CREEK
3900645,13484,0.1,RIFLE CREEK
3900645,15667.13771,1.3,RIFLE CREEK
3900645,15799.15019,1.5,RIFLE CREEK
3900645,16241.14728,0.6,RIFLE CREEK
3900645,18613.15071,2,RIFLE CREEK
3900645,31785.19549,10,RIFLE CREEK
3900645,34515,0.5,RIFLE CREEK
3900645,99999.99999,999,RIFLE CREEK
3900663,39041,36,COLORADO RIVER
3900672,12122,0.8,MAIN ELK CREEK
3900672,22621.18576,2.76,MAIN ELK CREEK
3900672,22974.21982,1.4,MAIN ELK CREEK
3900672,23051.21982,4.16,MAIN ELK CREEK
3900672,32959.25995,11.88,MAIN ELK CREEK
3900672,99999.99999,999,MAIN ELK CREEK
3900687,12327,5,ELK CREEK
3900687,13209,10.25,ELK CREEK
3900687,14001,5.47,ELK CREEK
3900687,17480.1691,1.6,ELK CREEK
3900687,17486.16864,0.2,ELK CREEK
3900687,18613.17813,3.58,ELK CREEK
3900687,32959.25995,21.19,ELK CREEK
3900687,99999.99999,999,ELK CREEK
3900701,18748,3.7,EAST ELK CREEK
3900701,23385.19457,0.3,EAST ELK CREEK
3900701,32959.25995,6.2,EAST ELK CREEK
3900710,37503.36531,94,COLORADO RIVER
3900712,37503.36991,100,COLORADO RIVER
3900728,36204,118.5,COLORADO RIVER
3900825,13223,3,CANYON CREEK
3900825,20527.18592,1.7,CANYON CREEK
3900825,21814.13644,1,CANYON CREEK
3900825,21814.1655,0.6,CANYON CREEK
3900825,21814.21659,1.9,CANYON CREEK
3900825,25569.13954,1.5,CANYON CREEK
3900825,31780.22035,5,CANYON CREEK
3900825,31780.2275,7,CANYON CREEK
3900825,33978.3388,5.5,CANYON CREEK
3900825,35551,2.52,CANYON CREEK
3900825,99999.99999,999,CANYON CREEK
3900967,32780,1,COLORADO RIVER
3900967,36195,7.5,COLORADO RIVER
3900990,12122,0.2,RIFLE CREEK
3900990,12889,0.89,RIFLE CREEK
3900990,13195,1,RIFLE CREEK
3900990,13468,0.52,RIFLE CREEK
3900990,13484,0.1,RIFLE CREEK
3900990,13629,1.95,RIFLE CREEK
3900990,13713,2,RIFLE CREEK
3903505_I,39041.00007,0,HARVEY GAP
39_ADC041,13119,20.1,#N/A
39_ADC041,15430,14.6,#N/A
39_ADC041,14408,5.07,#N/A
39_ADC041,25419,2.95,#N/A
39_ADC041,26006,54.7,#N/A
39_ADC041,40308,0.5,#N/A
39_ADC041,29857,2.5,#N/A
39_ADC041,17364,1.11,#N/A
39_ADC045,13124,33.6,#N/A
39_ADC045,14570,12,#N/A
39_ADC045,16685,3.06,#N/A
39_ADC045,15130,1.3,#N/A
39_ADC045,30260,5.3,#N/A
39_ADC045,22279,5.2,#N/A
4200520,39103,18.6,COLORADO RIVER
4200541,22283.203,610,COLORADO RIVER
4200541,34419.33414,80,COLORADO RIVER
4200541,52869,100,COLORADO RIVER
4200541_I,22283.203,60,COLORADO RIVER
4200541_I,34419.33414,80,COLORADO RIVER
4200541_I,99999.99999,999,COLORADO RIVER
4500514,12582,1.67,BATTLEMENT CREEK
4500514,12936,6.67,BATTLEMENT CREEK
4500514,13673,3,BATTLEMENT CREEK
4500514,13716,3.33,BATTLEMENT CREEK
4500514,15307.15116,2,BATTLEMENT CREEK
4500514,19811.12582,1.17,BATTLEMENT CREEK
4500514,57708.53833,3.06,BATTLEMENT CREEK
4500572,12178,1.2,BALDY CREEK
4500572,12585,1.8,BALDY CREEK
4500572,33097.32262,3.27,BALDY CREEK
4500572,33099.32262,3.28,BALDY CREEK
4500572,48365,2.8,BALDY CREEK
4500576_D,19805.18387,150,WEST DIVIDE CREEK
4500576_D,22020.2024,0.9,WEST DIVIDE CREEK
4500576_D,30170.18752,5,WEST DIVIDE CREEK
4500584,11909,4,EAST DIVIDE CREEK
4500584,12919,6,EAST DIVIDE CREEK
4500584,30170.11909,0.83,EAST DIVIDE CREEK
4500584,30170.13011,0.83,EAST DIVIDE CREEK
4500584,30170.22736,2.5,EAST DIVIDE CREEK
4500584,30170.22738,11.08,EAST DIVIDE CREEK
4500616,12743,2,CACHE CREEK
4500616,13454,2.33,CACHE CREEK
4500616,13583,3.54,CACHE CREEK
4500616,18578.15982,0.5,CACHE CREEK
4500616,19544.12743,0.83,CACHE CREEK
4500616,21523.18779,2.14,CACHE CREEK
4500616,23475.20544,0.22,CACHE CREEK
4500616,24551.21731,0.33,CACHE CREEK
4500616,99999.99999,999,CACHE CREEK
4500632_D,12998,1.67,CACHE CREEK
4500632_D,13284,5.27,CACHE CREEK
4500632_D,13327,3.97,CACHE CREEK
4500632_D,19544.12998,0.83,CACHE CREEK
4500632_D,19812.16156,2,CACHE CREEK
4500632_D,21366.19113,2.67,CACHE CREEK
4500632_D,24241.23579,1.25,CACHE CREEK
4500635,13103,3,GARFIELD CREEK
4500635,13605,1.67,GARFIELD CREEK
4500635,33099.32262,11.47,GARFIELD CREEK
4500638,12844,1.67,BATTLEMENT CREEK
4500638,13583,4.5,BATTLEMENT CREEK
4500638,13907,5,BATTLEMENT CREEK
4500638,17367.1409,1,BATTLEMENT CREEK
4500638,19673.12844,0.83,BATTLEMENT CREEK
4500638,51134.12844,0.03,BATTLEMENT CREEK
4500648,24052.13641,0.4,BALDY CREEK
4500648,33099.32262,8.34,BALDY CREEK
4500648,54786.48723,2.61,BALDY CREEK
4500668,13596,47.82,COLORADO RIVER
4500668,52230.48303,7,COLORADO RIVER
4500668,99999.99999,999,COLORADO RIVER
4500675,13234,0.67,DIVIDE CREEK
4500675,13623,0.83,DIVIDE CREEK
4500675,19807.17105,2.28,DIVIDE CREEK
4500675,19833.17105,1.6,DIVIDE CREEK
4500675,30170.13234,0.83,DIVIDE CREEK
4500675,30170.22738,3.78,DIVIDE CREEK
4500685,12488,1.67,MIDDLE MAMM CREEK
4500685,13270,3.33,MIDDLE MAMM CREEK
4500685,13612,6.17,MIDDLE MAMM CREEK
4500685,99999.99999,999,MIDDLE MAMM CREEK
4500693_D,11833,0.25,DIVIDE CREEK
4500693_D,11950,0.17,DIVIDE CREEK
4500693_D,12174,1.58,DIVIDE CREEK
4500693_D,12512,1,DIVIDE CREEK
4500693_D,13926,0.53,DIVIDE CREEK
4500693_D,19047.15811,10,DIVIDE CREEK
4500693_D,21052.18784,0.8,DIVIDE CREEK
4500693_D,27154.25292,0.48,DIVIDE CREEK
4500693_D,34825.30071,1.88,DIVIDE CREEK
4500693_D,37681.28277,5.38,DIVIDE CREEK
4500693_D,37681.34454,5,DIVIDE CREEK
4500693_D,41799,5,DIVIDE CREEK
4500704,25758.20697,49,WEST DIVIDE CREEK
4500704,53325.22482,0.75,WEST DIVIDE CREEK
4500704,99999.99999,999,WEST DIVIDE CREEK
4500705,11484,2.83,BALDY CREEK
4500705,12175,1.5,BALDY CREEK
4500705,12534,4,BALDY CREEK
4500705,33099.32262,8.82,BALDY CREEK
4500705,54056.48729,3,BALDY CREEK
4500705,54056.50541,1,BALDY CREEK
4500705,58074.48356,10,BALDY CREEK
4500725,13072,3.42,WEST DIVIDE CREEK
4500725,13798,8.83,WEST DIVIDE CREEK
4500725,20196.16192,12.25,WEST DIVIDE CREEK
4500725,20416.18397,16.67,WEST DIVIDE CREEK
4500725,30170.22738,18.83,WEST DIVIDE CREEK
4500725,52595.51742,1.25,WEST DIVIDE CREEK
4500725,52595.52534,1.25,WEST DIVIDE CREEK
4500743,12392,3.33,COLORADO RIVER
4500743,13484,8.5,COLORADO RIVER
4500743,37725,9,COLORADO RIVER
4500743,53691.53095,0.03,COLORADO RIVER
4500743,99999.99999,999,COLORADO RIVER
4500749,20797.16162,0.87,GARFIELD CREEK
4500749,20797.17653,2,GARFIELD CREEK
4500749,21590.20574,4,GARFIELD CREEK
4500749,33099.32262,12.63,GARFIELD CREEK
4500788,21590.20574,1.9,GARFIELD CREEK
4500788,23490.22187,3.2,GARFIELD CREEK
4500788,99999.99999,999,GARFIELD CREEK
4500790,13010,5,EAST DIVIDE CREEK
4500790,13249,5.25,EAST DIVIDE CREEK
4500790,21323.19097,0.08,EAST DIVIDE CREEK
4500790,21323.19832,12.73,EAST DIVIDE CREEK
4500790,23704.19832,1.2,EAST DIVIDE CREEK
4500790,30170.1301,0.42,EAST DIVIDE CREEK
4500790,30170.13012,0.42,EAST DIVIDE CREEK
4500790,30170.22738,24.58,EAST DIVIDE CREEK
4500790,58074.51408,2,EAST DIVIDE CREEK
4500790,58439.52534,1.5,EAST DIVIDE CREEK
4500793,12993,1.5,BEAVER CREEK
4500793,13576,8.5,BEAVER CREEK
4500793,18881,1.2,BEAVER CREEK
4500793,19047.18881,4.8,BEAVER CREEK
4500793,44925.36159,16.6,BEAVER CREEK
4500793,99999.99999,999,BEAVER CREEK
4500810,12921,2,DIVIDE CREEK
4500810,13923,2.92,DIVIDE CREEK
4500810,30170.12512,0.83,DIVIDE CREEK
4500810,30170.22738,4.17,DIVIDE CREEK
4500818,13090,5.17,WEST DIVIDE CREEK
4500818,13816,2.92,WEST DIVIDE CREEK
4500818,19719.16527,2.8,WEST DIVIDE CREEK
4500818,99999.99999,999,WEST DIVIDE CREEK
4500861,22729.13971,14.39,COLORADO RIVER
4500861,30895.13971,10.4,COLORADO RIVER
4500861,43829.36889,12.5,COLORADO RIVER
4500861,99999.99999,999,COLORADO RIVER
4500969,22729.16437,39.11,COLORADO RIVER
4500969,30895.16437,25,COLORADO RIVER
4500969,30895.23496,16.89,COLORADO RIVER
4500969,43829.36889,25,COLORADO RIVER
45_ADC042,12467,7.68,#N/A
45_ADC042,15669,15.99,#N/A
45_ADC042,16653,17.54,#N/A
45_ADC042,21488,1.7,#N/A
45_ADC042,22652,8.6,#N/A
45_ADC042,31484,41.51,#N/A
45_ADC042,39761,3,#N/A
45_ADC042,44404,12.13,#N/A
45_ADC043,12792,3.5,#N/A
45_ADC043,17016,6.64,#N/A
45_ADC043,19468,21.2,#N/A
45_ADC043,22256,25.17,#N/A
45_ADC043,23535,0.78,#N/A
45_ADC043,34546,30.49,#N/A
45_ADC043,40481,2.5,#N/A
45_ADC043,45051,10,#N/A
45_ADC043,47237,3,#N/A
45_ADC043,41219,1,#N/A
45_ADC044,12879,26.71,#N/A
45_ADC044,18394,12.73,#N/A
45_ADC044,16123,3.33,#N/A
45_ADC044,42649,4.81,#N/A
45_ADC044,43098,9.92,#N/A
45_ADC044,44740,6.05,#N/A
45_ADC046,13206,19.4,#N/A
45_ADC046,18529,4.67,#N/A
45_ADC046,20058,5,#N/A
45_ADC046,18353,1.1,#N/A
45_ADC046,31885,2.25,#N/A
45_ADC046,18808,0.07,#N/A
45_ADC046,51433,0.06,#N/A
45_ADC047,13453,23.41,#N/A
45_ADC047,16222,6.62,#N/A
45_ADC047,17954,5.8,#N/A
45_ADC047,22425,3.48,#N/A
45_ADC047,32815,8,#N/A
45_ADC047,24591,2.16,#N/A
45_ADC047,42510,2.06,#N/A
45_ADC047,99999.99999,999,#N/A
45_ADC048,13270,46.11,#N/A
45_ADC048,16506,21.25,#N/A
45_ADC048,20722,24.07,#N/A
45_ADC048,21672,12.2,#N/A
45_ADC048,27604,15.61,#N/A
45_ADC048,29817,24,#N/A
45_ADC048,40298,2,#N/A
45_ADC048,31774,3.5,#N/A
45_ADC048,46064,6.8,#N/A
5000517,15492,2.9,TROUBLESOME CREEK
5000517,33435.15491,9,TROUBLESOME CREEK
5000526,12196,8.67,TROUBLESOME CREEK
5000526,31393.25672,10,TROUBLESOME CREEK
5000539,13300,7.33,TROUBLESOME CREEK
5000539,20676.19665,12,TROUBLESOME CREEK
5000539,99999.99999,999,TROUBLESOME CREEK
5000574,12209,6.23,RED DIRT CREEK
5000574,12950,11,RED DIRT CREEK
5000574,19844,4,RED DIRT CREEK
5000574,21973,2,RED DIRT CREEK
5000574,31393.2508,8.8,RED DIRT CREEK
5000576,40028,75,EAST FORK TROUBLESOME CREEK
5000582,12209,4.45,RED DIRT CREEK
5000582,13083,7.75,RED DIRT CREEK
5000582,99999.99999,999,RED DIRT CREEK
5000585,12904,0.5,PASS CREEK
5000585,13260,0.25,PASS CREEK
5000585,18519,2,PASS CREEK
5000585,18580,9.65,PASS CREEK
5000585,19267,4,PASS CREEK
5000585,19597,2.25,PASS CREEK
5000585,19650,3.5,PASS CREEK
5000585,22494.1966,1.5,PASS CREEK
5000585,22494.20897,0.5,PASS CREEK
5000585,22494.20968,0.5,PASS CREEK
5000585,22494.2097,0.5,PASS CREEK
5000585,22494.21699,0.5,PASS CREEK
5000585,22494.21701,1,PASS CREEK
5000585,27960.23921,0.28,PASS CREEK
5000593,15494,2.45,TROUBLESOME CREEK
5000593,21853,75,TROUBLESOME CREEK
5000598,21358,3.88,EAST FORK TROUBLESOME CREEK
5000598,33435.24258,3.13,EAST FORK TROUBLESOME CREEK
5000598,33435.33389,8.88,EAST FORK TROUBLESOME CREEK
5000601,13330,7,LITTLE MUDDY CREEK
5000601,14791,9,LITTLE MUDDY CREEK
5000601,31393.31206,15,LITTLE MUDDY CREEK
5000606,15494,0.75,TROUBLESOME CREEK
5000606,16756,10,TROUBLESOME CREEK
5000606,19509,3,TROUBLESOME CREEK
5000606,20382,14,TROUBLESOME CREEK
5000606,20676.20588,5,TROUBLESOME CREEK
5000606,22494.22085,3,TROUBLESOME CREEK
5000606,33070,62.25,TROUBLESOME CREEK
5000612,32335.11971,12,COLORADO RIVER
5000613,32335.11677,12,COLORADO RIVER
5000617,22494.22423,36,RED DIRT CREEK
5000617,49403,36,RED DIRT CREEK
5000627,12784,5,PASS CREEK
5000627,31393.25688,5,PASS CREEK
5000627,99999.99999,999,PASS CREEK
5000628,22494.21754,7,TROUBLESOME CREEK
5000628,23190,2.5,TROUBLESOME CREEK
5000628,99999.99999,999,TROUBLESOME CREEK
5000632,11780,7.33,TROUBLESOME CREEK
5000632,33435.18018,3.67,TROUBLESOME CREEK
5000653_D,12174,18.64,TROUBLESOME CREEK
5000653_D,21397,41.36,TROUBLESOME CREEK
5000654,14509,23.5,TROUBLESOME CREEK
5000654,99999.99999,999,TROUBLESOME CREEK
5000656,12646,3.3,MUDDY CREEK
5000656,31393.25672,3.33,MUDDY CREEK
5000656,32335.25672,5,MUDDY CREEK
5000656,99999.99999,999,MUDDY CREEK
5000731,20676.19665,12,WASTE CREEK
5000731,99999.99999,999,WASTE CREEK
5000734_D,30506.14397,15,MUDDY CREEK
5000734_D,33025,51.75,MUDDY CREEK
5000734_D,99999.99999,999,MUDDY CREEK
5000744,47827,18.4,MUDDY CREEK
5003668FR,99999,0,MUDDY CREEK
5003668HU,99999.99999,0,MUDDY CREEK
5003668MK,99999,0,MUDDY CREEK
5003668MP,99999,0,MUDDY CREEK
50_ADC012,12810,31.83,#N/A
50_ADC012,16644,11.08,#N/A
50_ADC012,19179,5,#N/A
50_ADC012,23963,5.75,#N/A
50_ADC012,31577,2,#N/A
50_ADC012,18478,43.54,#N/A
50_ADC012,99999.99999,999,#N/A
50_ADC013,13728,12.9,#N/A
50_ADC013,17587,4,#N/A
50_ADC013,16407,12.5,#N/A
50_ADC013,25020,5.3,#N/A
50_ADC013,13591,9,#N/A
50_ADC013,32506,1,#N/A
50_ADC013,32310,17.2,#N/A
50_ADC014,12739,10.88,#N/A
50_ADC014,16173,4.25,#N/A
50_ADC014,18785,27.75,#N/A
50_ADC014,26113,1.25,#N/A
50_ADC014,26449,4,#N/A
50_ADC014,14580,31.75,#N/A
50_ADC014,40176,1,#N/A
50_ADC014,51191,2.3,#N/A
50_ADC015,13247,3,#N/A
50_ADC015,15776,7.25,#N/A
50_ADC015,21520,23.75,#N/A
50_ADC015,22739,28.6,#N/A
50_ADC016,13665,1.38,#N/A
50_ADC016,17250,9.25,#N/A
50_ADC016,18869,11.75,#N/A
50_ADC016,23178,2.13,#N/A
50_ADC016,26074,6.48,#N/A
50_ADC016,54377,8.25,#N/A
50_ADC016,99999.99999,999,#N/A
50_ADC020,22852,7.3,#N/A
50_ADC020,19425,26,#N/A
5100529_D,16588,30,WILLIAMS FORK
5100529_D,19394,120,WILLIAMS FORK
5100529_D,19967,111,WILLIAMS FORK
5100546,20676.13665,22.82,WILLOW CREEK
5100546,31257.99998,14.14,WILLOW CREEK
5100546,31257.99999,8.04,WILLOW CREEK
5100546,99999.99999,999,WILLOW CREEK
5100585,20676.14748,20.88,COLORADO RIVER
5100585,20676.18582,0.21,COLORADO RIVER
5100585,21304,9.15,COLORADO RIVER
5100585,99999.99999,999,COLORADO RIVER
5100594,14380,7.97,CROOKED CREEK
5100594,16930,7.22,CROOKED CREEK
5100594,37772,10,CROOKED CREEK
5100594,58074.55304,0.03,CROOKED CREEK
5100629,20676.13284,2.5,COLORADO RIVER
5100629,23454.23288,0.88,COLORADO RIVER
5100629,33433.33149,11.03,COLORADO RIVER
5100639,30870.26117,75,FRASER RIVER
5100660,15127,2,SAINT LOUIS CREEK
5100660,20676.19875,1,SAINT LOUIS CREEK
5100660,38240,2.28,SAINT LOUIS CREEK
5100660,45290.37805,0.5,SAINT LOUIS CREEK
5100660,99999.99999,999,SAINT LOUIS CREEK
5100686,20676.12296,9.75,FRASER RIVER
5100686,34241.12296,2,FRASER RIVER
5100699,12053,12,FRASER RIVER
5100699,99999.99999,999,FRASER RIVER
5100700,12296,8,SAINT LOUIS CREEK
5100700,20676.12266,3,SAINT LOUIS CREEK
5100728,31259.30133,70,HAMILTON CREEK
5100763,20676.13818,11,COLORADO RIVER
5100763,33063.12023,24,COLORADO RIVER
5100763,33433.33151,10,COLORADO RIVER
5100763,34241.18263,2,COLORADO RIVER
5100763,34241.18263,8,COLORADO RIVER
5100763,34241.18263,10,COLORADO RIVER
5100763,99999.99999,999,COLORADO RIVER
5100788,19635,14.5,WILLIAMS FORK
5100788,26429,11.5,WILLIAMS FORK
5100810,22061,25,CORRAL CREEK
5100826,12904,3,FRASER RIVER
5100826,14245,3.75,FRASER RIVER
5100826,18627,3.25,FRASER RIVER
5100826,34241.29417,6,FRASER RIVER
5100829,14056,4,SAINT LOUIS CREEK
5100829,20676.14056,1,SAINT LOUIS CREEK
5100829,99999.99999,999,SAINT LOUIS CREEK
5100831,20676.11504,2,FRASER RIVER
5100831,20676.12919,6.9,FRASER RIVER
5100831,34241.11504,2,FRASER RIVER
5100831,99999.99999,999,FRASER RIVER
5100848,18941,150,COLORADO RIVER
5100858,23454.22456,8.5,CORRAL CREEK
5100858,30870.27453,3.5,CORRAL CREEK
5100858,34241.25719,2,CORRAL CREEK
5100876,99999.99999,999,FRASER RIVER
5100880_D,20676.14015,7.75,COLORADO RIVER
5100880_D,33663.14015,7,COLORADO RIVER
5100880_D,37566.3599,10,COLORADO RIVER
5100880_D,99999.99999,999,COLORADO RIVER
5100883,20676.12784,3.75,COLORADO RIVER
5100883,30870.23496,5,COLORADO RIVER
5100883,34638,10,COLORADO RIVER
5100883,99999.99999,999,COLORADO RIVER
5100893,15129,10,COLORADO RIVER
5100893,20676.1473,5,COLORADO RIVER
5100893,21670,2.13,COLORADO RIVER
5100893,30870.2097,4,COLORADO RIVER
5100893,30870.21336,3,COLORADO RIVER
5100893,99999.99999,999,COLORADO RIVER
5100924,21125,76.8,LITTLE MUDDY CREEK
5100934,12942,5.7,TRAIL CREEK
5100934,31350,4,TRAIL CREEK
5100934,99999.99999,999,TRAIL CREEK
5100939,13667,3,COLORADO RIVER
5100939,36280,2,COLORADO RIVER
5100939,39095.3628,9.5,COLORADO RIVER
5100939,99999.99999,999,COLORADO RIVER
5100941,21814,63.5,STRAWBERRY CREEK
5100948,19410,20,STRAWBERRY CREEK
5100958,31258,400,WILLOW CREEK
5101070,99999.99999,999,WILLIAMS FORK
5101148,34241.18263,13.84,COLORADO RIVER
5101149,34241.18263,13.84,COLORADO RIVER
5101231,21814.00001,131.88,MEADOW CREEK
5101237,39095.38998,295,WILLIAMS FORK
5101269,30870.26117,180,RANCH CREEK
5101309_D,30870.26117,25.22,SAINT LOUIS CREEK
5101309_D,30870.26117,214,SAINT LOUIS CREEK
5101310,30870.26117,105,VASQUEZ CREEK
5103709HU,99999.99999,0,WILLIAMS FORK
5104601,14854,524.6,COLORADO RIVER
5104603,30870.26117,214,COLORADO RIVER
5104625,20676.19173,53.4,FRASER RIVER
5104634,31258,550,EAST INLET
5104655,99999.99999,0,EAST INLET
5104700,47671.00001,300,COLORADO RIVER
5104700,47671.00002,100,COLORADO RIVER
5104700,47671.00003,200,COLORADO RIVER
51_ADC001,14420,4.33,#N/A
51_ADC001,15754,16.17,#N/A
51_ADC001,20642,20.2,#N/A
51_ADC001,34681,3.91,#N/A
51_ADC001,27659,5.6,#N/A
51_ADC001,99999.99999,999,#N/A
51_ADC002,12580,16.14,#N/A
51_ADC002,19904,3,#N/A
51_ADC002,14458,1.5,#N/A
51_ADC002,23531,6.23,#N/A
51_ADC002,26098,7.32,#N/A
51_ADC002,99999.99999,999,#N/A
51_ADC003,14001,8,#N/A
51_ADC003,18520,10.5,#N/A
51_ADC003,21565,8.25,#N/A
51_ADC003,29371,4.75,#N/A
51_ADC003,99999.99999,999,#N/A
51_ADC004,13359,19.63,#N/A
51_ADC004,17863,13.5,#N/A
51_ADC004,14292,3,#N/A
51_ADC004,31928,1.5,#N/A
51_ADC004,41027,3,#N/A
51_ADC004,50403,2,#N/A
51_ADC005,13064,48.08,#N/A
51_ADC005,18358,3.5,#N/A
51_ADC005,18790,2.5,#N/A
51_ADC005,21291,4,#N/A
51_ADC005,29963,13.85,#N/A
51_ADC005,41027,2,#N/A
51_ADC006,13601,3,#N/A
51_ADC006,13001,8.88,#N/A
51_ADC006,26746,4,#N/A
51_ADC006,22339,21.3,#N/A
51_ADC006,36280,1,#N/A
51_ADC006,28877,2,#N/A
51_ADC006,99999.99999,999,#N/A
51_ADC007,13110,4.75,#N/A
51_ADC007,19787,2.5,#N/A
51_ADC007,22916,13.75,#N/A
51_ADC007,26953,19.48,#N/A
51_ADC007,41527,6.8,#N/A
51_ADC007,45076,1,#N/A
51_ADC007,32506,1,#N/A
51_ADC007,99999.99999,999,#N/A
51_ADC008,12443,11.7,#N/A
51_ADC008,19425,2,#N/A
51_ADC008,18510,14.38,#N/A
51_ADC008,44873,11.25,#N/A
51_ADC008,99999.99999,999,#N/A
51_ADC009,14380,3.25,#N/A
51_ADC009,17318,2,#N/A
51_ADC009,17670,33.75,#N/A
51_ADC009,22124,3.38,#N/A
51_ADC009,29403,8,#N/A
51_ADC010,12062,4.75,#N/A
51_ADC010,16192,2.5,#N/A
51_ADC010,15953,22.21,#N/A
51_ADC010,22203,9.87,#N/A
51_ADC011,12929,6.25,#N/A
51_ADC011,18074,15.39,#N/A
51_ADC011,24267,13,#N/A
51_ADC011,29927,13.5,#N/A
51_ADC011,52852,7.5,#N/A
51_ADC011,99999.99999,999,#N/A
5200559,13635,2.8,SHEEPHORN CREEK
5200559,19790.18414,0.5,SHEEPHORN CREEK
5200559,29437.21701,8.51,SHEEPHORN CREEK
5200559,99999.99999,999,SHEEPHORN CREEK
5200572,14411,1.6,SHEEPHORN CREEK
5200572,19790.14429,2.4,SHEEPHORN CREEK
5200572,24262.24262,2.7,SHEEPHORN CREEK
5200572,29437.21002,5.94,SHEEPHORN CREEK
