WDID,Water Source
3605003,GROUNDWATER: BLUE RIVER
3605004,GROUNDWATER: BLUE RIVER
3605005,GROUNDWATER: SNAKE RIVER
3605006,GROUNDWATER: SNAKE RIVER
3605011,GROUNDWATER: MINERS CREEK
3605016,GROUNDWATER: BLUE RIVER
3605023,GROUNDWATER: BLUE RIVER
3605050,GROUNDWATER: SNAKE RIVER
3605062,GROUNDWATER: BLUE RIVER
3605063,GROUNDWATER: BLUE RIVER
3605064,GROUNDWATER: BLUE RIVER
3605068,GROUNDWATER: SNAKE RIVER
3605069,GROUNDWATER: SNAKE RIVER
3605070,GROUNDWATER: SNAKE RIVER
3605071,GROUNDWATER: SNAKE RIVER
3605085,GROUNDWATER: SNAKE RIVER
3605090,GROUNDWATER: BLUE RIVER
3605091,GROUNDWATER: BLUE RIVER
3605092,GROUNDWATER: BLUE RIVER
3605093,GROUNDWATER: BLUE RIVER
3605094,GROUNDWATER: SNAKE RIVER
3605103,GROUNDWATER: WILLOW CREEK
3605104,GROUNDWATER: BLUE RIVER
3605105,GROUNDWATER: BLUE RIVER
3605106,GROUNDWATER: BLUE RIVER
3605107,GROUNDWATER: BLUE RIVER
3605108,GROUNDWATER: BLUE RIVER
3605109,GROUNDWATER: BLUE RIVER
3605110,GROUNDWATER: BLUE RIVER
3605111,GROUNDWATER: BLUE RIVER
3605112,GROUNDWATER: BLUE RIVER
3605113,GROUNDWATER: BLUE RIVER
3605114,GROUNDWATER: BLUE RIVER
3605115,GROUNDWATER: SODA CREEK
3605116,GROUNDWATER: SODA CREEK
3605117,GROUNDWATER: SODA CREEK
3605118,GROUNDWATER: SODA CREEK
3605119,GROUNDWATER: SODA CREEK
3605120,GROUNDWATER: SODA CREEK
3605121,GROUNDWATER: SODA CREEK
3605122,GROUNDWATER: SODA CREEK
3605123,GROUNDWATER: SODA CREEK
3605124,GROUNDWATER: SODA CREEK
3605128,GROUNDWATER: BLUE RIVER
3605131,GROUNDWATER: BLUE RIVER
3605133,GROUNDWATER: BLUE RIVER
3605134,GROUNDWATER: BLUE RIVER
3605135,GROUNDWATER: BLUE RIVER
3605136,GROUNDWATER: BLUE RIVER
3605149,GROUNDWATER: BLUE RIVER
3605154,GROUNDWATER: SNAKE RIVER
3605155,GROUNDWATER: SNAKE RIVER
3605156,GROUNDWATER: SNAKE RIVER
3605171,BLUE RIVER
3605172,GROUNDWATER: SNAKE RIVER
3605173,GROUNDWATER: SNAKE RIVER
3605174,GROUNDWATER: MINERS CREEK
3605183,GROUNDWATER: SODA CREEK
3605184,GROUNDWATER: SODA CREEK
3605185,GROUNDWATER: SODA CREEK
3605187,GROUNDWATER: BLUE RIVER
3605188,GROUNDWATER: BLUE RIVER
3605189,GROUNDWATER: BLUE RIVER
3605190,GROUNDWATER: BLUE RIVER
3605191,GROUNDWATER: BLUE RIVER
3605192,GROUNDWATER: BLUE RIVER
3605193,GROUNDWATER: BLUE RIVER
3605194,GROUNDWATER: BLUE RIVER
3605195,GROUNDWATER: BLUE RIVER
3605196,GROUNDWATER: BLUE RIVER
3605197,GROUNDWATER: DEEP CREEK
3605198,GROUNDWATER: SPRING CREEK
3605200,GROUNDWATER: SPRING CREEK
3605201,GROUNDWATER: SNAKE RIVER
3605202,GROUNDWATER: SNAKE RIVER
3605203,GROUNDWATER: SNAKE RIVER
3605204,GROUNDWATER: TENMILE CREEK
3605205,GROUNDWATER: BLUE RIVER
3605206,GROUNDWATER: BLUE RIVER
3605207,GROUNDWATER: BLUE RIVER
3605208,GROUNDWATER: BLUE RIVER
3605214,BLUE RIVER
3605215,BLUE RIVER
3605217,GROUNDWATER: WEST TENMILE CREEK
3605219,GROUNDWATER: BLUE RIVER
3605220,GROUNDWATER: BLUE RIVER
3605221,GROUNDWATER: SNAKE RIVER
3605222,GROUNDWATER: SNAKE RIVER
3605223,FRENCH CREEK
3605225,GROUNDWATER: BLUE RIVER
3605226,GROUNDWATER: BLUE RIVER
3605228,GROUNDWATER: WEST TENMILE CREEK
3605230,BLUE RIVER
3605233,HARSHA GULCH
3605234,HARSHA GULCH
3605235,HARSHA GULCH
3605236,HARSHA GULCH
3605237,GROUNDWATER: MEADOW CREEK
3605238,GROUNDWATER: SNAKE RIVER
3605240,GROUNDWATER: BLUE RIVER
3605248,GROUNDWATER: SNAKE RIVER
3605250,GROUNDWATER: PEBBLE CREEK
3605268,GROUNDWATER: ROCK CREEK
3605276,GROUNDWATER: WEST TENMILE CREEK
3605277,GROUNDWATER: WEST TENMILE CREEK
3605278,GROUNDWATER: WEST TENMILE CREEK
3605279,GROUNDWATER: MEADOW CREEK
3605281,GROUNDWATER: BLUE RIVER
3605285,GROUNDWATER: BLUE RIVER
3605340,GROUNDWATER: SWAN RIVER
3605342,GROUNDWATER: SWAN RIVER
3605369,GROUNDWATER: SWAN RIVER
3605370,GROUNDWATER: SWAN RIVER
3605374,BLUE RIVER
3605375,BLUE RIVER
3605378,GROUNDWATER: WEST TENMILE CREEK
3605379,GROUNDWATER: WEST TENMILE CREEK
3605380,GROUNDWATER: WEST TENMILE CREEK
3605381,GROUNDWATER: WEST TENMILE CREEK
3605382,WEST TENMILE CREEK
3605383,GROUNDWATER: WEST TENMILE CREEK
3605384,GROUNDWATER: TENMILE CREEK
3605390,BLUE RIVER
3605391,BLUE RIVER
3605394,GROUNDWATER: BLUE RIVER
3605395,GROUNDWATER: BLUE RIVER
3605396,GROUNDWATER: BLUE RIVER
3605398,GROUNDWATER: BLUE RIVER
3605399,GROUNDWATER: BLUE RIVER
3605400,OTTER CREEK
3605401,OTTER CREEK
3605402,OTTER CREEK
3605403,BLUE RIVER
3605404,BLUE RIVER
3605405,BLUE RIVER
3605406,BLUE RIVER
3605407,BLUE RIVER
3605410,BLUE RIVER
3605411,BLUE RIVER
3605412,BLUE RIVER
3605413,GROUNDWATER: BLUE RIVER
3605415,BLUE RIVER
3605417,GROUNDWATER: SPRING CREEK
3605420,GROUNDWATER: BLUE RIVER
3605446,GROUNDWATER: BLUE RIVER
3605449,BLUE RIVER
3605450,BLUE RIVER
3605453,BLUE RIVER
3605457,GROUNDWATER: BLUE RIVER
3605458,GROUNDWATER: BLUE RIVER
3605459,GROUNDWATER: BLUE RIVER
3605460,GROUNDWATER: BLUE RIVER
3605483,GROUNDWATER: BLUE RIVER
3605484,GROUNDWATER: BLUE RIVER
3605485,GROUNDWATER: BLUE RIVER
3605486,GROUNDWATER: BLUE RIVER
3605487,GROUNDWATER: TENMILE CREEK
3605490,GROUNDWATER: TENMILE CREEK
3605491,GROUNDWATER: TENMILE CREEK
3605494,GROUNDWATER: BLUE RIVER
3605495,GROUNDWATER: BLUE RIVER
3605496,GROUNDWATER: BLUE RIVER
3605497,GROUNDWATER: BLUE RIVER
3605498,GROUNDWATER: BLUE RIVER
