Year,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78,Site79,Site80,Site81,Site82,Site83,Site84,Site85,Site86,Site87,Site88,Site89,Site90,Site91,Site92,Site93,Site94,Site95,Site96,Site97,Site98,Site99,Site100,Site101,Site102,Site103,Site104,Site105,Site106,Site107,Site108,Site109,Site110,Site111,Site112,Site113,Site114,Site115,Site116,Site117,Site118,Site119,Site120,Site121,Site122,Site123,Site124,Site125,Site126,Site127,Site128,Site129,Site130,Site131,Site132,Site133,Site134,Site135,Site136,Site137,Site138,Site139,Site140,Site141,Site142,Site143,Site144,Site145,Site146,Site147,Site148,Site149,Site150,Site151,Site152,Site153,Site154,Site155,Site156,Site157,Site158,Site159,Site160,Site161,Site162,Site163,Site164,Site165,Site166,Site167,Site168,Site169,Site170,Site171,Site172,Site173,Site174,Site175,Site176,Site177,Site178,Site179,Site180,Site181,Site182,Site183,Site184,Site185,Site186,Site187,Site188,Site189,Site190,Site191,Site192,Site193,Site194,Site195,Site196,Site197,Site198,Site199,Site200,Site201,Site202,Site203,Site204,Site205,Site206,Site207,Site208
1939,40820,60836,120172,123020,210674,210674,76455,76685,2920,25073,25612,15960,22736,25117,25117,4971,13839,13839,7185,27364,7035,5978,5978,136930,422495,1863,7378,16750,19094,75602,115031,115959,125856,125927,8155,24219,24562,21809,22115,25509,25792,1494,5862,39480,53153,12246,510,12050,93376,94463,1823,4427,34718,86793,2301,44230,48824,53507,64369,71920,229197,229197,12117,301827,15808,15808,20632,318888,9543,327428,329307,21986,11313,11313,378757,379274,11370,5927,384081,1048838,9325,3247,20815,20815,25003,2237,6004,9394,308,50272,64238,12300,4582,1364,12892,7366,36834,16438,13268,41202,122114,31998,31998,20295,44150,244937,266458,14261,24893,325384,29807,44846,21851,21851,24703,35854,442644,1830745,8286,28863,36930,792,68081,97259,28191,35240,25647,25647,45726,38253,41687,11362,16642,42076,25668,104546,13613,99483,127216,152234,152234,6471,6826,553412,2376,180402,218709,10937,35242,9625,9625,12001,26532,4941,11810,873709,2813705,36431,38389,38701,49037,1558,21722,70758,932,3516,845,16661,5750,36439,2615,28374,28374,20853,2277,745,5987,9766,3221,12987,3020542,6379,11227,7098,21773,3100369,3741,12751,32789,49229,1187,22796,22796,6679,5835,13632,10020,10020,2301,5312,1496,7121,153774,4920,6539,1403162,4716127,4778149
1940,35328,52650,102380,104766,178229,178229,69362,69569,2521,21656,22121,11923,16986,19038,19038,4825,11342,11342,5886,24867,5330,5101,5101,118981,364727,1436,4479,4968,5088,45882,84805,85721,94263,94324,7354,21841,22151,22134,22139,17138,17330,1304,4455,28709,44263,10689,607,10517,84114,85370,1238,3013,23622,59054,1808,34747,38622,39998,48117,53761,169709,169709,9521,230843,13664,13664,17778,245576,6379,251098,252702,14698,9426,9426,287585,287929,9471,4940,302272,894759,8568,2983,19124,19124,21419,1979,5314,8316,600,27551,35204,11303,1988,1150,8679,4960,24798,13094,10567,32817,87926,26470,26470,16138,32541,179030,193829,9806,17116,234562,22392,32734,19590,19590,21553,29219,321652,1422357,3596,19052,27740,680,43370,61955,17943,22431,19754,19754,36978,29765,32712,8842,14279,32742,19971,81348,10366,75765,96885,119279,119279,6100,6436,425592,2040,141775,174639,9420,30269,7082,7082,9122,21585,4815,10709,686815,2207794,27366,28836,26809,47523,1508,21053,68576,801,2680,852,14339,4673,31084,2251,24776,24776,18210,2349,153,4112,8519,2810,11329,2344050,5502,9689,6770,19749,2393754,3448,11751,30217,45371,1006,19351,19351,5671,4953,11573,9088,9088,2145,4954,1395,6641,145993,4588,6706,1052939,3632535,3669927
1941,43010,64101,127061,130082,223093,223093,68317,68522,3237,27799,28395,15487,22061,24490,24490,8658,15252,15252,7915,30881,6857,4996,4996,149699,438998,1727,5824,9619,10569,61752,100500,101411,110959,111028,8755,25997,26367,28196,27993,20623,20852,1601,5071,31751,37003,13132,637,12923,68579,68958,1689,4102,32168,80422,2481,47658,50854,49551,59606,66599,212942,212942,13058,278961,16281,16281,20504,296337,8046,303504,305150,18538,11487,11487,347306,347694,11543,6020,373554,1075810,7986,2782,17828,17828,20779,2034,5459,8541,782,35705,45623,10538,3298,1483,11237,6419,32105,15479,12493,38799,112789,34833,34833,18339,41006,232976,253426,13549,23653,309605,28428,42717,19347,19347,22057,32651,419713,1743945,5968,24522,33301,988,62624,89463,26415,33019,26824,26824,51850,42258,46539,12551,20747,46485,28353,115491,12815,93649,119757,155750,155750,6509,6866,594089,2965,203687,251434,16868,47162,9046,9046,12011,30121,8549,17111,974820,2899916,32851,34616,43123,69703,2213,30879,100582,1799,4308,928,32154,15338,74565,5050,28687,28687,21085,4958,2595,6564,23088,7614,30702,3332154,7041,12399,10110,27422,3407231,6953,23693,60920,91473,2531,48684,48684,14266,12463,29112,14697,14697,3892,8993,2530,12056,277579,8331,6576,2294997,5655965,5212386
1942,39398,58716,128778,132139,235640,235640,66341,66540,3540,30393,31044,21090,30044,31428,31428,8863,22331,22331,11590,40367,8799,7381,7381,200631,498579,2427,7673,15921,17982,82230,123006,123965,133044,133108,8127,24140,24481,25748,25608,22964,23221,1707,4957,29982,46288,13989,653,13764,93300,94603,1825,4439,34809,87024,2524,48550,53021,56590,68076,76062,237183,237183,13303,312832,16098,16098,21067,330222,7592,336781,338719,17495,12675,12675,385746,386285,12739,6641,411411,1213668,11249,3918,25109,25109,28625,2446,6565,10274,1206,42210,53935,14841,4961,5210,13282,7591,37949,17135,13829,42946,128463,38177,38177,20698,46442,263446,286672,15389,26863,353997,34810,51039,20340,20340,23417,35451,479940,1999662,8970,30115,37952,1037,76466,109237,33074,41342,31341,31341,57632,46301,50797,13751,21793,50931,31068,126540,13981,102179,130664,176029,176029,8630,9104,667779,3113,229076,279234,19601,51425,12620,12620,15733,34758,11859,20852,1090717,3248463,37437,39449,57522,72031,2288,31910,103941,2393,4340,933,42718,19837,98523,6709,34114,34114,25073,5102,5350,7882,34002,11212,45214,3913037,7897,13902,8692,26817,3993354,7411,25253,64934,97498,4016,77214,77214,22623,19767,46175,16341,16341,4449,10275,2893,13773,357833,9518,6689,2895965,6843503,6293724
1943,38879,57943,117872,120750,209283,209283,83489,83741,2991,25675,26226,20382,29033,30525,30525,6269,14864,14864,7715,32572,8547,6245,6245,159632,450652,2168,7287,17810,20440,71844,113469,114449,123788,123854,8644,25671,26035,27970,27753,25335,25616,1439,6068,41666,53653,11795,660,11607,91573,92538,1837,4461,35003,87506,2636,50685,55487,59591,71683,80092,245727,245727,13888,326277,20951,20951,26262,348609,11101,358604,360675,25576,13072,13072,410419,410774,13134,6850,439532,1196071,9824,3421,21928,21928,25201,2790,7499,11735,777,39289,50202,12960,4898,1086,12984,7419,37096,18050,14566,45235,127810,37959,37959,22309,46921,260845,283050,14714,25683,343525,33243,48759,23557,23557,26499,38003,468009,1947888,8853,30883,39540,950,80338,114771,33011,41264,30333,30333,54360,46595,50705,13839,19917,51255,31265,127343,14862,108622,138904,186620,186620,8092,8536,666043,2847,223339,269181,11667,40753,11728,11728,14575,31962,6106,14326,1055777,3164832,39006,41102,40677,60353,1917,26737,87090,1116,3705,886,19898,6944,43598,3124,26601,26601,19550,3020,821,6009,9792,3229,13021,3377582,7510,13219,8813,26303,3435290,4860,16570,42610,63977,1251,24031,24031,7040,6150,14372,10641,10641,2803,6470,1821,8673,183832,5993,6560,1760848,5256419,5078197
1944,37994,56624,110042,112606,191519,191519,59217,59394,2573,22099,22572,13468,19186,25170,25170,5062,13396,13396,6952,24516,7047,4775,4775,145075,392344,1694,6281,14193,16169,63434,104686,105656,113946,114005,6658,19771,20051,20603,20542,18189,18391,1534,4929,31055,40617,12571,523,12372,77708,78500,1508,3659,28700,71747,2042,39277,41370,46777,56270,62873,185860,185860,10761,247555,15678,15678,19775,264288,8427,271871,273453,19416,11698,11698,318744,319198,11755,6130,339593,978958,11734,4085,26192,26192,28645,2117,5684,8896,1091,29694,37943,15481,3576,1663,10131,5791,28943,14941,12055,37443,103285,31319,31319,16684,36652,210327,228343,11938,20836,278194,29664,42255,23706,23706,26093,35428,386478,1600003,6467,25177,33581,966,66123,94462,27365,34206,28871,28871,53340,45122,49307,13402,20284,49633,30278,123319,14908,108953,139327,157900,157900,8154,8601,608523,2897,208506,255191,17660,47281,9879,9879,12776,30485,9898,18268,993875,2725868,33125,34906,39353,68194,2163,30210,98404,1867,4129,1500,33330,16127,77522,5233,27871,27871,20487,4445,1361,7117,22933,7562,30495,3076035,8839,15563,4681,19399,3134057,7276,24798,63767,95748,2554,49132,49132,14395,12580,29382,13997,13997,2881,6653,1873,8918,247054,6163,6635,2236625,5208041,4654802
1945,44898,66912,131549,134652,230139,230139,87311,87572,2416,20763,21208,9357,13331,28746,28746,6455,17204,17204,8927,35471,8050,6586,6586,153962,468293,1914,7075,15631,17769,65915,111240,112305,120703,120763,9815,29145,29559,28354,28489,20791,21022,1544,5290,34106,50614,12665,702,12464,96519,97886,1744,4237,33221,83052,2318,44600,48635,53453,64300,71844,222553,222553,12221,302354,18325,18325,23712,322080,9972,330934,333033,22979,13425,13425,370501,370536,13491,7036,385600,1118021,10757,3747,24013,24013,26584,2643,7100,11111,954,31615,40398,14190,3594,1357,12517,7153,35769,15882,12817,39803,118348,36520,36520,18948,42100,242263,263147,13840,24157,320367,31723,46319,23060,23060,25827,36647,438815,1796677,6499,25508,34120,956,71060,101513,29233,36543,29584,29584,53808,46502,50646,13811,20081,51153,31203,127090,16802,122804,157039,170925,170925,8076,8519,632857,2869,212908,259124,14222,43548,11703,11703,14572,32104,7419,15707,1017124,2986551,33658,35465,42569,63831,2026,28278,92109,1500,3771,1503,26781,10389,59719,4206,27959,27959,20550,4118,2206,5959,15595,5145,20740,3364760,8584,15109,5694,21497,3430429,6665,22715,58414,87708,1919,36872,36872,10804,9438,22049,12945,12945,3051,7045,1985,9443,234734,6525,6779,1804249,5319185,5105043
1946,34203,50973,107138,109833,192806,192806,69957,70169,2736,23483,23985,11954,17028,28452,28452,5946,13786,13786,7153,29277,7966,5972,5972,139850,400724,2068,6250,14512,16576,63567,109804,110891,118086,118136,7993,23740,24077,23026,23143,24865,25143,1683,6700,45317,51911,13781,494,13560,87762,88307,1762,4282,33577,83945,1956,37613,41224,51411,61843,69100,211296,211296,10307,290534,19485,19485,24978,311446,10116,320422,322562,23311,13412,13412,345336,344890,13478,7030,360625,1012370,8690,3025,19400,19400,22531,3802,10211,15978,1238,37557,47993,11464,3427,2173,11521,6584,32920,13962,11267,34994,104004,35713,35713,18533,38063,215996,233615,11676,20379,282919,30932,43245,25351,25351,27687,36816,392912,1677165,6196,26558,36547,827,66823,95461,27698,34624,26962,26962,47878,41461,45040,12314,17338,45607,27820,113314,15441,112854,144316,150615,150615,7956,8394,565768,2479,190479,230387,11850,37171,11814,11814,14293,29430,6655,13812,905737,2708416,36051,37989,40016,51814,1644,22953,74767,1090,3022,1212,19468,7810,43671,3056,27174,27174,19972,3012,1064,4833,12793,4217,17010,2956463,7299,12847,4913,19999,3015768,4571,15578,40051,60138,1424,27385,27385,8024,7010,16375,10841,10841,2468,5698,1602,7637,165425,5277,6671,1277720,4388779,4281294
1947,52775,78651,170587,174997,310812,310812,63916,64108,3876,33284,33998,22214,31644,32868,32868,6601,17969,17969,9327,33194,9204,6997,6997,205932,575756,2933,10304,21215,23941,96643,152114,153419,160144,160193,7753,23022,23349,25623,25369,25600,25886,1700,6979,47614,53829,13929,648,13707,89669,90182,2411,5851,45911,114775,3263,62764,66788,72661,87411,97665,298191,298191,17197,403255,22762,22762,29766,427838,11949,438331,441059,27530,17883,17883,482157,482019,17972,9369,519676,1437507,12141,4227,27102,27102,31054,2949,7925,12401,1174,47608,60833,16016,5648,1500,17932,10248,51238,20076,16202,50314,158144,48128,48128,25954,56580,322772,350402,18309,31957,425804,40136,59444,28254,28254,31916,46231,578416,2357906,10213,35141,44735,1175,98436,140622,40838,51048,34200,34200,63990,52138,57235,15484,24696,57352,34984,142491,22547,164787,210722,213760,213760,8613,9085,788745,3528,273871,330708,15687,51749,14344,14344,17872,39431,7832,18021,1270205,3758122,44133,46504,51047,69923,2220,30977,100900,1475,3447,1431,26309,11601,60062,4129,27794,27794,20429,3908,1411,8015,17426,5744,23170,4109129,9104,16029,7322,25375,4191835,6350,21642,55651,83560,1973,37935,37935,11115,9712,22687,13933,13933,2843,6565,1849,8802,230424,6083,6773,1849334,6234495,6169083
1948,36031,53698,114725,117650,207801,207801,70628,70841,3328,28590,29203,17000,24213,25777,25777,5395,14047,14047,7289,27584,7217,5618,5618,169192,443456,2150,7645,17496,19960,71094,112812,113795,121644,121700,8175,24282,24626,29895,29307,25223,25503,1691,6726,45475,49488,13857,536,13636,82396,82728,2167,5265,41293,103232,2497,48034,49936,62860,75619,84490,246626,246626,13160,335677,18838,18838,24888,356087,10139,364967,367324,23361,14158,14158,403997,403969,14229,7420,449509,1231479,11335,3947,25300,25300,28641,2588,6951,10877,996,40063,51194,14954,4824,2082,16575,9470,47356,19290,15567,48344,143340,37265,37265,21442,47223,278271,301530,15414,26903,365824,36713,52966,27191,27191,30272,42323,500624,2026916,8724,32491,42659,1154,77348,110497,33966,42457,30399,30399,59638,46896,51898,13927,24237,51585,31468,128166,21509,157192,201014,211754,211754,6706,7075,726257,3462,245820,301605,16245,51639,14456,14456,17918,39079,8787,18788,1178149,3319216,42082,44344,46011,68284,2169,30250,98534,1649,4253,1057,29459,13571,67835,4626,27745,27745,20392,3141,695,6826,25865,8529,34394,3622610,9534,16786,6186,23696,3705152,5425,18488,47537,71377,2413,46407,46407,13597,11879,27751,14629,14629,2709,6260,1764,8391,238834,5800,6426,2444897,6112370,5734278
1949,48664,72523,161955,166246,298360,298360,69042,69249,3641,31249,31919,16934,24121,27767,27767,6241,19804,19804,10279,34586,7775,7221,7221,206190,567203,2441,8511,19248,21934,79371,134407,135704,139035,139059,8303,24660,25011,24403,24471,26929,27228,1738,6800,45775,54321,14243,753,14016,93724,94431,2140,5198,40771,101932,2773,53317,55881,61320,73764,82419,252327,252327,14610,341860,22200,22200,28172,365610,11692,376064,378390,26944,15889,15889,416992,416858,15968,8326,438395,1293578,11514,4008,25700,25700,29913,2809,7543,11804,799,50571,64620,15187,5002,1868,13935,7963,39816,20868,16842,52303,137653,39361,39361,22721,47363,272588,294817,14731,25715,356150,35877,51412,26482,26482,29426,40945,486273,2134820,9048,32045,41274,918,79689,113841,33882,42353,29457,29457,52700,44812,48789,13310,19268,49296,30069,122470,24101,176136,225238,206109,206109,8429,8892,675296,2753,226278,270627,14088,42225,13384,13384,16137,32958,7376,15330,1068853,3355951,40718,42907,48205,66381,2105,29406,95787,1433,7159,1207,25596,11934,59081,4016,28053,28053,20619,3699,1761,7178,20604,6796,27400,3719607,12228,21531,13060,40936,3788637,5334,18178,46743,70186,1929,37099,37099,10869,9498,22186,13947,13947,2882,6652,1874,8916,224011,6162,6529,2119235,5973900,5750408
1950,33695,50219,92983,95032,158203,158203,76631,76862,2445,20989,21439,14793,21070,24872,24872,5934,10814,10814,5612,19781,6964,4488,4488,133959,366109,2030,6720,15283,17424,60279,100204,101143,108979,109035,8743,25969,26337,26873,26813,25137,25415,1675,5606,35841,45854,13741,598,13522,85891,86719,1693,4112,32253,80632,2248,43252,46465,53366,64198,71728,213967,213967,11850,292213,17116,17116,22408,310702,8966,318568,320632,20661,13185,13185,373731,374345,13248,6907,396940,1028833,9481,3301,21162,21162,23502,2410,6468,10123,1155,28080,35880,12506,3774,1743,12136,6936,34675,16177,13055,40544,116343,32024,32024,17677,39932,231840,251918,13304,23222,307362,31249,45280,23103,23103,25764,36165,422917,1669249,6826,25447,33420,830,59611,85157,23992,29990,25767,25767,46785,39143,42738,11625,17423,43056,26264,106978,16891,123451,157865,170926,170926,7275,7674,564729,2487,186976,227073,9426,34866,10385,10385,12872,28083,5027,12217,896281,2702214,32967,34739,39763,56178,1783,24885,81063,1103,3248,1039,19693,6062,42338,3091,26172,26172,19237,2957,1503,4553,13495,4450,17945,3011404,7757,13657,9807,28229,3069464,4835,16480,42376,63627,1244,23908,23908,7004,6121,14298,11411,11411,2233,5158,1452,6912,171996,4776,6571,1387300,4629009,4614474
1951,52829,78730,153119,156687,266580,266580,94116,94399,3185,27349,27934,18108,25793,33598,33598,4936,17132,17132,8891,33695,9408,7001,7001,207435,561965,1667,9166,19377,21929,79536,133252,134517,141208,141254,9754,28967,29379,25672,26083,31163,31511,1828,6619,43503,56738,14976,769,14737,103320,104414,2357,5731,44942,112358,3245,62413,68523,75888,91289,102001,311687,311687,17101,426308,20716,20716,28490,449046,10849,458279,461307,24997,12634,12634,503827,503985,12696,6620,506486,1334607,10149,3535,22655,22655,27184,2949,7917,12389,1159,54351,69450,13389,5220,1006,16112,9207,46034,22295,17992,55878,148066,40291,40291,26180,51159,288384,310921,14932,26064,372199,29362,45109,23522,23522,26510,38184,493773,2198829,9440,30208,37278,861,72856,104081,31275,39093,26657,26657,48461,39629,43358,11770,18075,43592,26590,108306,23642,172787,220955,205706,205706,7444,7853,635573,2583,208241,249840,8290,34681,10216,10216,12799,28577,3441,10901,989981,3326455,36773,38750,39507,54751,1739,24256,79007,874,2916,1268,15635,5134,33934,2453,25772,25772,18943,2253,733,5331,6148,2027,8175,3538951,3909,6882,5627,15244,3606498,3326,11340,29155,43775,720,13870,13870,4064,3551,8294,8075,8075,1865,4307,1212,5772,134518,3988,6770,1126965,4895875,4918310
1952,55941,83371,185997,190922,342530,342530,98134,98428,3553,30509,31163,20922,29804,34760,34760,8757,23681,23681,12289,46152,9733,8510,8510,272692,703362,3986,9194,23023,26479,94921,152155,153502,165945,166033,11245,33392,33869,35556,35368,35219,35612,2122,9100,62805,71064,17392,592,17112,116204,116888,2056,4991,39154,97884,2969,57110,64775,76893,92500,103353,302142,302142,15648,398365,24456,24456,30879,424490,11662,434817,437319,26870,17216,17216,512306,513293,17299,9020,547271,1641857,16999,5919,37942,37942,43474,3465,9296,14552,703,66384,84825,22423,7996,3376,16904,9657,48295,21368,17243,53552,162110,46539,46539,24063,56677,329129,358548,19497,34030,440620,45663,66223,34600,34600,38500,53742,610565,2727762,14460,42909,51056,1271,92851,132644,39678,49597,34950,34950,67201,53825,59341,15987,26733,59207,36116,147103,25224,184347,235738,252503,252503,9392,9907,841787,3818,290350,351878,21192,60230,21131,21131,24949,48290,9274,20305,1367470,4322711,50365,53071,60656,68604,2177,30389,98993,2087,5332,1285,37267,15285,83930,5851,28276,28276,20785,4303,2409,8408,34535,11389,45924,4775845,19507,34342,17707,60654,4878201,7015,23908,61482,92314,2479,47668,47668,13967,12203,28506,12776,12776,3196,7381,2078,9896,252385,6838,6753,2625077,7798597,7837021
1953,35764,53299,110695,113450,198239,198239,87240,87502,2538,21798,22266,14034,19991,26011,26011,5595,13143,13143,6820,27645,7283,5291,5291,135018,418685,2009,7216,16722,19099,65299,109787,110833,114198,114222,8544,25379,25738,26393,26319,25921,26210,1575,5819,38474,49108,12905,527,12699,87951,88823,1788,4346,34094,85236,2334,44874,48554,57302,68933,77020,228162,228162,12296,309849,18191,18191,23722,329474,9291,337618,339772,21408,12862,12862,389895,390401,12925,6739,413038,1106423,8636,3008,19274,19274,23065,2207,5921,9267,1197,45514,58155,11390,3217,1157,11627,6644,33221,17643,14237,44218,117442,34886,34886,21260,42910,237594,257126,12944,22591,310525,32473,46122,25052,25052,27641,37759,427586,1842843,5816,23794,32269,748,69787,99696,31399,39247,27403,27403,46372,39928,43171,11859,15723,43920,26790,109124,18151,132652,169632,168795,168795,8626,9099,575947,2247,189495,225682,13758,36718,13828,13828,16075,29803,4722,11212,905814,2866466,31832,33543,34059,51550,1636,22838,74388,1351,2730,1151,24103,6029,50426,3786,25704,25704,18894,2298,728,4496,8180,2697,10877,3074914,5590,9844,7125,20431,3132186,4056,13827,35550,53381,1160,22279,22279,6526,5702,13322,10379,10379,2210,5100,1436,6839,160867,4726,6592,1331478,4620786,4601067
1954,21344,31810,84379,86901,164558,164558,29955,30047,1530,13129,13411,7374,10506,13525,13525,3244,5540,5540,2876,13017,3787,3583,3583,69746,263493,1061,3852,8777,10008,32859,58131,58727,61372,61391,4116,12223,12397,12166,12194,10878,10999,806,3636,25409,31384,6611,405,6506,52171,52664,866,2102,16473,41184,1322,25419,27854,28228,33954,37939,118448,118448,6965,169647,9270,9270,12794,179834,6851,185953,187326,15785,9361,9361,218838,219041,9407,4906,232313,635221,3832,1334,8549,8549,11074,1322,3548,5552,551,30758,39304,5052,1973,742,5954,3402,17012,10591,8547,26546,65627,20124,20124,12576,24519,133638,144412,7141,12462,173972,20070,27599,15830,15830,17257,22840,242717,1073129,3566,19089,27860,458,42002,60004,17369,21710,21441,21441,33006,29820,31797,8856,9586,32803,20009,81499,9277,67811,86714,108882,108882,7201,7597,373267,1370,115320,137382,6844,20842,4289,4289,5659,14026,4280,8235,569885,1703521,27483,28961,31973,40913,1298,18125,59038,470,2071,1977,8409,2917,18407,1320,25184,25184,18509,2137,898,3333,6687,2206,8893,1919589,4191,7379,4513,14084,1963749,3204,10913,28058,42127,630,12108,12108,3550,3099,7241,8401,8401,2037,4704,1323,6304,124370,4355,6783,663475,2756288,2747852
1955,28995,43209,112638,115968,218534,218534,34724,34830,2292,19685,20108,12212,17396,18943,18943,4990,10944,10944,5679,23383,5304,4901,4901,113229,364789,1556,5012,10895,12367,44351,73049,73723,82857,82921,5212,15479,15699,17803,17569,13984,14139,1231,4735,31694,35259,10100,615,9940,60248,60543,1313,3193,25030,62578,1884,36241,38502,38326,46108,51516,163254,163254,9929,227045,13026,13026,17320,241185,8054,248349,250021,18559,11411,11411,288840,289124,11468,5978,316112,890372,6492,2262,14492,14492,17191,1941,5209,8153,762,33393,42667,8565,3247,760,6903,3945,19723,11942,9638,29928,80576,31151,31151,15815,32552,177023,192121,10005,17462,233269,22950,33500,18085,18085,20084,27908,320328,1434774,5872,21773,28539,641,54965,78521,23658,29573,23245,23245,39500,36572,39351,10863,13475,40228,24540,99950,14270,104294,133367,141182,141182,6888,7267,483679,1924,175592,206605,9545,29224,8286,8286,10210,21974,3897,9458,773612,2270023,28153,29666,36227,51255,1627,22706,73961,878,2512,1387,15668,5559,34419,2460,27131,27131,19941,2895,1928,4845,8134,2682,10816,2586968,4790,8435,7161,19075,2640620,4041,13766,35398,53152,963,18514,18514,5424,4739,11072,9021,9021,2128,4918,1384,6592,153342,4554,6652,1032037,3827852,3815603
1956,37636,56089,139500,143502,266720,266720,61192,61374,2841,24389,24912,18798,26778,22809,22809,6023,13002,13002,6748,28177,6386,6947,6947,164699,488565,1309,7238,17183,19667,59896,93334,94121,102112,102170,7498,22274,22589,22141,22190,24354,24626,1675,6208,41089,51762,13732,548,13513,92534,93417,1711,4153,32572,81431,2672,51379,54786,60210,72434,80931,233222,233222,14077,317947,17543,17543,23173,336951,9106,344888,347081,20981,11735,11735,402038,402751,11794,6146,418658,1152559,9991,3478,22300,22300,26135,2468,6632,10377,1248,46025,58808,13179,3962,1486,10888,6220,31110,15527,12531,38916,111696,33380,33380,23320,45871,235066,255411,13479,23531,311311,29197,43415,19538,19538,22234,32772,422060,1894844,7162,25413,32760,669,56194,80275,25285,31608,24340,24340,41294,38214,41114,11350,14054,42035,25641,104440,16664,121786,155736,183064,183064,6361,6710,538806,2007,179828,212175,7465,27986,8377,8377,10384,22654,3283,9083,834351,2779427,32317,34054,38053,49314,1565,21849,71163,666,2462,848,11867,3916,25775,1863,26629,26629,19572,2241,1374,5147,6874,2266,9140,3040789,6411,11284,8837,24417,3096868,3490,11895,30587,45926,761,14620,14620,4282,3743,8742,8041,8041,2206,5092,1434,6826,127720,4716,6680,1112864,4321850,4286495
1957,51906,77354,207961,214228,407172,407172,96573,96862,4423,37981,38796,28633,40789,33349,33349,14641,23805,23805,12355,49579,9336,9189,9189,299696,793423,3310,10037,31336,36662,90403,149454,150844,158898,158954,11597,34435,34925,39825,39281,40475,40925,2699,9948,65721,64554,22127,792,21773,107831,107733,2364,5738,45003,112509,3485,67059,72370,75440,90753,101400,311313,311313,18374,416728,27050,27050,33988,445578,11827,455964,458666,27251,21820,21820,527745,528384,21927,11433,583978,1803351,16381,5706,36570,36570,43057,2788,7484,11711,894,77841,99464,21613,7048,2685,17620,10069,50345,26337,21255,66006,179854,53381,53381,32361,66728,367200,398205,20544,35860,483819,48119,69786,25879,25879,29988,46049,652324,2988048,12744,41669,51913,1592,114595,163708,51794,64742,39943,39943,80241,67325,74218,19996,33406,74058,45175,184001,37137,271414,347076,279583,279583,17301,18248,1018959,4773,338909,415795,17096,65879,14688,14688,19461,48622,7857,21644,1627107,4735503,51211,53963,52404,93210,2959,41292,134502,1792,8363,2862,32018,16159,75136,5027,28498,28498,20945,4754,1372,9522,16462,5427,21889,5021123,9558,16830,8519,28322,5110135,7966,27148,69813,104823,3003,57722,57722,16913,14776,34517,13339,13339,3188,7361,2074,9869,273582,6819,6585,3208645,8627272,8655433
1958,39491,58856,143590,147655,272833,272833,58268,58444,2979,25574,26123,18394,26202,27504,27504,6572,15474,15474,8029,31586,7701,7114,7114,174548,501686,3037,7834,17382,19771,76854,118266,119242,128560,128627,8539,25359,25721,26551,26459,25867,26155,1926,7202,47781,52895,15807,608,15554,91042,91463,1761,4279,33565,83915,2387,45879,49522,55413,66660,74479,225083,225083,12571,303850,17311,17311,22588,322530,9714,331149,333203,22382,11926,11926,388122,388780,11986,6249,410774,1207591,10666,3713,23804,23804,27824,2797,7506,11747,563,48247,61647,14067,5147,2265,12280,7018,35085,14009,11304,35110,117189,33765,33765,18651,44085,244799,267744,15204,26537,331377,33478,49511,23413,23413,26454,38341,458207,2003537,9309,28899,35162,823,75899,108429,29421,36776,30457,30457,51281,45652,49213,13558,17263,50219,30633,124768,18209,133080,170178,186230,186230,5303,5593,625970,2466,214327,254059,11736,36945,12662,12662,15128,30198,6907,14031,990244,3117216,34686,36550,37890,72877,2313,32287,105164,1413,4903,881,25216,13002,59451,3958,32026,32026,23538,4035,1075,8892,12607,4160,16767,3401983,7453,13123,6530,22774,3481710,5593,19065,49020,73603,2615,50276,50276,14730,12872,30065,13682,13682,3801,8778,2473,11767,253376,8130,6402,2383205,6185728,6255006
