Year,ReconCisco,ObservedNaturalCisco,ObservedNaturalStateline
1933,6862697.413,5821144.388,5418034
1934,3257450.467,3329578.988,3027598
1935,6668936.671,5881878.373,4674351
1936,6391672.345,7065759.569,6085045
1937,6925122.422,5824329.44,4466308
1938,8527904.795,8731594.583,6710357
1939,5583390.087,5490739.03,4730504
1940,6089275.873,4681551.91,3614891
1941,8347926.197,7791635.339,5194515
1942,9327269.195,8928899.777,6339709
1943,6719200.964,6420436.105,5048685
1944,6478418.786,7124203.516,4623743
1945,5691215.102,6671846.181,5086871
1946,4094918.445,5244074.031,4243612
1947,8569251.229,7277886.008,6099694
1948,6915393.849,7649190.029,5717583
1949,8295229.761,7459194.948,5703689
1950,5639329.38,5378477.21,4527297
1951,5296397.188,5414033.786,4898741
1952,9318351.337,9279998.473,7818034
1953,5182897.172,5340678.597,4572784
1954,2522943.219,3470878.279,2731905
1955,6959983.141,4631377.096,3796983
1956,5211272.176,5063272.099,4268755
1957,9341051.34,10090738.62,8633483
1958,6523818.793,7738717.48,6241049
1959,3661996.954,4504838.045,3931808
1960,6448422.354,5700390.43,4770050
1961,4130589.878,4546302.717,3653402
1962,8450076.212,8220033.285,7225867
1963,4647014.952,4035123.428,3291890
1964,5610143.662,4843846.541,4101161
1965,8851379.841,8235584.538,7078058
1966,5293154.331,5065629.138,3632062
1967,5613386.519,4807302.949,3937859
1968,5605279.375,5974045.867,4836302
1969,7783668.974,6453721.645,5323213
1970,7636929.667,7578481.882,6579167
1971,6638129.524,6685916.654,6320042
1972,4946979.281,4835773.903,4349169
1973,9159451.314,8034630.803,6459456
1974,6779193.83,5760927.54,5317782
1975,7734215.395,7047750.559,5863788
1976,5670136.528,4797735.986,4270335
1977,2463761.068,2590402.999,2470285
1978,8557090.513,7071131.281,5403198
1979,7824204.694,8300895.163,6896414
1980,6588675.945,7916382.712,6284761
1981,4604047.089,3885357.419,3507235
1982,8497908.362,7400669.071,5906995
1983,10360930.06,10979376.58,9160884
1984,9581833.517,12531011.3,10749638
1985,8926776.28,10368987.13,8746155
1986,8986769.146,9731275.535,8672630
1987,7433440.352,7651693.372,5986619
1988,5253429.325,5166805.495,4497001
1989,6017933.006,4723043.048,3820729
1990,4621882.806,4119922.346,3276378
1991,8513311.935,5589439.152,4686345
1992,6396536.632,5214125.737,4335007
1993,8232804.752,8998890.356,7504318
1994,5308557.904,5141840.248,4282412
1995,9613451.379,9536043.014,8406105
1996,7601258.233,,6528867
1997,7901222.562,,8278943
1998,,,6301476
1999,,,5322329
2000,,,4469783
2001,,,3833632
2002,,,2317954
2003,,,4183816
2004,,,3319745
2005,,,5741342
2006,,,5055717
2007,,,4783753
2008,,,7336311
2009,,,6091335
2010,,,4636693
2011,,,8032740
2012,,,3012314
2013,,,3551888
